ID,Description,Source
S-311,"to glow, be very hot",
S-312,"tomb, grave",
S-314,key,
S-315,"to sit, stay",
S-317,deep,
S-318,"to gather, assemble",
S-319,head of cattle,
S-320,west(ern),
S-321,wave,
S-322,to give (to 2/3sg),
S-323,to give (to 1sg),
S-324,to hate,
S-325,"to cease, depart, forgive",
S-326,farmer,
S-327,"child, son",
S-328,"to strike, beat, hit",
S-329,belly,
S-330,to drive away,
S-331,wind,
S-332,to curse,
S-333,three,
S-334,to spit,
S-335,"to plough, furrow",
S-336,"to swim, bathe",
S-337,"lance, spear",
S-338,"door, gate",
S-341,"money, silver",
S-343,"affair, matter, thing",
S-344,to buy/sell,
S-345,to wash,
S-346,year,
S-347,"to remember, think",
S-348,"to get full, fill",
S-349,"to strike, play instrument",
S-350,to go,
S-351,"to schlaughter, sacrifice",
S-352,to burn,
S-353,pregnant,
S-354,nephew (son of sister),
S-355,who?,
S-356,to deny,
S-357,to see,
S-358,son,
S-359,to sleep,
S-360,"skin, hide",
S-361,"side, shore",
S-362,to hold,
S-363,long,
S-364,desert,
S-365,to drink,
S-366,cloud,
S-367,house,
S-368,old,
S-369,to cut,
S-370,termite,
S-372,"to go, go along",
S-373,to swallow,
S-374,Nubian,
S-375,"very small, fine",
S-376,shade,
S-377,ear (of grain),
S-378,to say,
S-379,ashes,
S-380,bark (of tree),
S-381,bat,
S-382,beard,
S-383,to belch,
S-384,big,
S-385,bitter,
S-386,black,
S-387,blind,
S-388,body,
S-389,bone,
S-390,"bowels, intestines",
S-391,breast (female),
S-392,to bury,
S-393,calf,
S-394,chameleon,
S-395,charcoal,
S-396,to cut off,
S-397,cold,
S-398,evening,
S-399,excrement,
S-400,"to fight, wage war",
S-401,(finger)nail,
S-402,fish,
S-403,court,
S-404,"to get drunk, intoxicated",
S-405,"hateful, bad",
S-406,iron,
S-407,"to blow, breathe",
S-408,to inherit,
S-409,"to roast, grill",
S-410,loaf,
S-411,to enter,
S-412,"to grow, get up",
S-413,"hair, plumage, wool",
S-414,hare,
S-415,"to hear, smell",
S-416,heavy,
S-417,"to hit, slap, strike",
S-418,kidney,
S-419,to kill,
S-420,knee,
S-422,many,
S-423,to marry,
S-424,milk,
S-425,"to milk, squeeze",
S-426,"neck, nape",
S-427,nose,
S-428,"butter, fat, oil, abundance",
S-429,to paint (with color),
S-430,"to pierce, insert",
S-431,"rib, side",
S-432,river,
S-433,root,
S-434,rope,
S-435,"mud, sand",
S-436,"to scratch, scrape",
S-437,to sow,
S-438,to sing,
S-439,(bad) smell,
S-440,to sneeze,
S-441,to snore,
S-442,spider,
S-443,to split,
S-444,to speak,
S-445,"to stand, stop, remain",
S-446,to suck,
S-447,tail,
S-448,to taste,
S-450,tongue,
S-451,tooth,
S-452,twin,
S-453,udder,
S-454,urine,
S-455,"vein, sinew",
S-456,vulture,
S-457,"to go, walk",
S-458,worm,
S-459,yesterday,
S-460,bird,
S-461,blood,
S-462,brains,
S-463,deaf,
S-464,to dry,
S-465,eight,
S-466,to grind,
S-467,fly (insect),
S-468,she-goat,
S-469,horn,
S-470,lake,
S-471,locust,
S-472,shoe,
S-473,snake,
S-474,summer,
S-475,trunk (of tree),
S-477,"to want, love",
S-478,to gather,
S-479,hundred,
S-480,iron,
S-481,mother-in-law,
S-482,paternal uncle,
S-483,back of body,
S-484,to steal,
S-485,horse,
S-487,"to set fire, burn",
S-488,"he, she, it; they",
S-489,warm,
S-491,"hyena, crocodile",
S-492,to take,
S-493,to dance,
S-494,god-creator,
